COLUMN_NAME	LABEL	LEGAL_VALUES
LON_DD83	"Longitude in decimal degrees (based on NAD83 datum) for stream site  from NHDPlusV2, i.e., ""design longitude.""   No missing or ""blank"" values allowed."	NA
MAJ_BAS_NM	"Name of major USGS Hydrologic Basins derived from NHDPlus names.  No missing or ""blank"" values allowed."	Arkansas-White-Red Region | California Region |  Great Basin Region | Great Lakes Region | Lower Colorado Region | Lower Mississippi Region | Mid Atlantic Region | Missouri Region | New England Region | Ohio-Tennessee Region | Pacific Northwest Region | Rio Grande-Texas-Gulf Region | Souris-Red-Rainy Region | South Atlantic Gulf Region | Upper Colorado Region | Upper Mississippi Region |
MICX_DETECT	Microcystin Detection	Detected|Not Detected|Not Assessed
MICX_EPA_COND	Microcystin condition based on EPA benchmark	Above Benchmark|At or Below Benchmark|Not Assessed
MIS_BAS_NM	"The hydrologic basin name for streams in the Mississippi Basin derived from NHDPlus names.  ""Not Miss River Basin"" for streams not in the Mississippi Basin.  No missing values allowed."	Ohio Region|Tennessee Region|Upper Mississippi Region|Lower Mississippi Region|Lower Missouri Region| Upper Missouri Region|Arkansas-Red-White Region|Not Mississippi River Basin
MISS_BASIN	"Within Mississippi Basin or outside, based on MIS_BAS_NM values"	Mississippi_Basin|Not_Mississippi_Basin
NTL_COND	Site condition class based on total nitrogen concentration	Good|Fair|Poor|No Data
OE_COND	Condition class based on O/E score	<0.5|<0.8|<0.9|>=0.9
OWN_NARS	"Land ownership code derived from USGS PADUS (http://gapanalysis.usgs.gov/padus/data/) - pulled May 2016 version of database. Aggregated to categories used by NARS.  Text of 13 land ownership category names. Similar to OWN_TYPE  in USGS PADUS dataset except that Federal_Land is separated into major federal agencies.   No missing or ""blank"" values allowed."	BLM |  DOD | | DOE | USFS | FWS | NOAA | Non Federal | NPS | Tribal Land| USACE | USBR | NRCS| Other Fed
PSTL_CODE	"State two letter postal code for site sampled. 50 state postal codes plus AS, MP, GU, PR, VI for American Samoa, Commonwealth of Northern Marianas, Guam, Puerto Rico and Virgin Islands.  No missing or ""blank"" values allowed."	NA
PTL_COND	Site condition class based on total phosphorus concentration	Good|Fair|Poor|No Data
RIPDIST_COND	"Riparian disturbance condition, based on W1_HALL"	Low|Medium|High|Not Assessed
RIPVEG_COND	"Riparian vegetation condition, based on L_XCMGW"	Good|Fair|Poor|Not Assessed
SAL_COND	Site condition class based on conductivity	Good|Fair|Poor|No Data
SALINITY_CLASS	"Salinity class, based on total salts in sample"	Not Assessed|Freshwater|Slightly Saline|Moderately Saline|Highly Saline
SITE_ID	"Site ID for the study and year sampled.  Preferred form is NRSnn_MM-xxxxx  where  nn is current cycle year (04, 08, 13, 18, etc), MM is two letter state code, and xxxxx is between 10001 and 99999.  No missing or ""blank"" values allowed."	NA
SITESAMP	Was site sampled: Y/N.	|Y|N
STRAH_CAT	"Strahler category used to classify reaches.  SmallStreams   1st and 2nd order; LargeStreams   3rd and 4th order; MajorRivers   5th order and higher that are identified as MajorRiver/Additional in MAJ_RIVER variable;  and OtherRivers   5th and higher that are not MajorRivers.  No missing or ""blank"" values allowed."	RiversMajor | RiversOther | LargeStreams | SmallStreams |
URBN_NRS18	"Stream  identified as an urban stream based on urban definition used in NRSA 2018-19 design. Urban based on 2010 Census polygons of urban areas. No 3km buffer to ensure census waters included since census polygons now include census waters.  No missing or ""blank"" values allowed."	Urban | Non-Urban |
USFS	"US Forest Service land or other, based on OWN_NARS."	Forest_Service|Not_Forest_Service
VISIT_NO	Number identifying which visit this is	|1|2
WGT_TP	NRSA adjusted weight for site when want estimates to be for the Target Population. Includes weight adjustments to account for sites with unknown status and when site status is known to be target but not sampled. >0 or 0 if site is not to be used for population estimation. Units: miles.	NA
XCOORD	"x-coordinate from US Contiguous Albers Equal Area Conic projection EXCEPT Hawaii sites which are calculated from Hawaii Albers Equal Area Conic projection.   No missing or ""blank"" values allowed. Projection:  clon = -96, clat = 37.5, sp1 = 29.5, sp2 = 45.5"	NA
YCOORD	"y-coordinate from US Contiguous Albers Equal Area Conic projection EXCEPT Hawaii sites which are calculated from Hawaii Albers Equal Area Conic projection.  No missing or ""blank"" values allowed.  Projection: sph = ""GRS80"", clon = -96, clat = 37.5, sp1 = 29.5, sp2 = 45.5"	NA
YEAR	Year of sampling	NA
ENT_1X_STV_COND	Estimated enterococci CCE / 100 mL of water sample volume from ORD analyses of undiluted DNA extract and calculations from EPA Method 1609 calculation spreadsheet exceeds (1) or is less than (0) RWQC STV value of 1280 CCE/100 mL.	NA
UID	Unique site visit ID	NA
PUBLICATION_DATE	Date of data file publication	NA
DSGN_CYCLE	NRSA survey design time period 2000-04| 2008-09 | 2013-14 | 2018-19 | etc.  No missing values allowed.	NA
UNIQUE_ID	Unique site ID based on location that does not depend on year sampled or any other factor. Form is NRS_ss_nnnnn  where ss state and nnnnn is number that starts at 10001. No missing values allowed.	NA
