"UID","SITE_ID","DATE_COL","VISIT_NO","SITESAMP","UNIQUE_ID","DSGN_CYCLE","AG_ECO3","AG_ECO9","EPA_REG","EVAL_CAT","FED_NONFED","FS_EW","HUC2_NM","LAT_DD83","LON_DD83","MAJ_BAS_NM","MIS_BAS_NM","MISS_BASIN","OWN_NARS","PSTL_CODE","STRAH_CAT","URBN_NRS18","USFS","WGT_TP","XCOORD","YCOORD","ACID_COND","ANC_COND","BEDSED_COND","BENT_MMI_COND","CYLSPER_DETECT","CYLSPER_EPA_COND","ENT_1X_STV_COND","FISH_MMI_COND","HG_COND","INSTRMCVR_COND","MICX_DETECT","MICX_EPA_COND","NTL_COND","OE_COND","PTL_COND","RIPDIST_COND","RIPVEG_COND","SAL_COND","SALINITY_CLASS","YEAR","PUBLICATION_DATE"
2012499,"NRS18_WI_10019","07/19/2018","1","Y","NRS_WI-10158","2018-19","PLNLOW","UMW","Region_05","Target_Sampled","Federal","Not_USFS","Upper Mississippi Region","44.818435381892","-91.8792635666612","Upper Mississippi Region","Upper Mississippi Region","Mississippi_Basin","Non Federal","WI","SmallStreams","Non-Urban","Not_Forest_Service","1605.7799182526","325254.200000009","825778.799999968","Good","None","Good","Poor","Not Detected","At or Below Benchmark","Above Benchmark","Not Assessed","Not Assessed","Good","Not Detected","At or Below Benchmark","Poor","O/E>=0.9","Poor","Moderate","Good","Good","Freshwater",2018,2022-01-31
2012500,"NRS18_NC_10014","07/19/2018","1","Y","NRS_NC-10122","2018-19","EHIGH","SAP","Region_04","Target_Sampled","Federal","Not_USFS","Tennessee Region","36.2738953556503","-81.8709558647969","Ohio-Tennessee Region","Ohio-Tennessee Region","Mississippi_Basin","Non Federal","NC","LargeStreams","Non-Urban","Not_Forest_Service","1203.07576500968","1253090.00000003","-44050.7099999925","Not Assessed","Not Assessed","Good","Good","Not Detected","At or Below Benchmark","Above Benchmark","Fair","At or Below Benchmark","Poor","Not Detected","At or Below Benchmark","Poor","O/E>=0.9","Poor","Moderate","Poor","Good","Not Assessed",2018,2022-01-31
2012501,"NRS18_OK_10023","07/23/2018","1","Y","NRS_OK-10107","2018-19","EHIGH","SAP","Region_06","Target_Sampled","Federal","Not_USFS","Arkansas-Red-White Region","35.1481488020214","-94.7018984324384","Arkansas-White-Red Region","Arkansas-White-Red Region","Mississippi_Basin","Non Federal","OK","RiversOther","Non-Urban","Not_Forest_Service","69.8625281624133","117270.400000002","-262607.599999988","Good","None","Good","Good","Not Detected","At or Below Benchmark","At or Below Benchmark","Poor","Above Benchmark","Good","Detected","At or Below Benchmark","Poor","O/E>=0.9","Poor","Low","Good","Good","Freshwater",2018,2022-01-31
2012502,"NRS18_OK_10029","07/24/2018","1","Y","NRS_OK-10064","2018-19","PLNLOW","CPL","Region_06","Target_Sampled","Federal","Not_USFS","Arkansas-Red-White Region","33.9122163262306","-95.5493600248504","Arkansas-White-Red Region","Arkansas-White-Red Region","Mississippi_Basin","Non Federal","OK","RiversMajor","Non-Urban","Not_Forest_Service","144.266646673379","41367.2800000009","-401521.69999998","Good","None","Good","Poor","Not Detected","At or Below Benchmark","At or Below Benchmark","Fair","At or Below Benchmark","Fair","Not Detected","At or Below Benchmark","Fair","O/E<0.8","Fair","Moderate","Poor","Poor","Freshwater",2018,2022-01-31
2012503,"NRS18_OK_10018","08/28/2018","1","Y","NRS_OK-10155","2018-19","PLNLOW","SPL","Region_06","Target_Sampled","Federal","Not_USFS","Arkansas-Red-White Region","36.7601225147135","-96.28955609622","Arkansas-White-Red Region","Arkansas-White-Red Region","Mississippi_Basin","Tribal Land","OK","SmallStreams","Non-Urban","Not_Forest_Service","476.524166309391","-25609.2800000001","-82867.5999999968","Good","None","Good","Good","Not Detected","At or Below Benchmark","At or Below Benchmark","Good","Not Assessed","Good","Detected","At or Below Benchmark","Fair","O/E>=0.9","Good","Moderate","Good","Good","Freshwater",2018,2022-01-31
2012505,"NRS18_DE_10002","09/05/2018","1","Y","NRS_DE-10009","2018-19","PLNLOW","CPL","Region_03","Target_Sampled","Federal","Not_USFS","Mid-Atlantic Region","39.7001270851501","-75.6333858866531","Mid-Atlantic Region","Not Mississippi River Basin","Not_Mississippi_Basin","Non Federal","DE","RiversOther","Urban","Not_Forest_Service","33.1327942738338","1717460.07500004","431331.81799999","Good","None","Fair","Not Assessed","Not Detected","At or Below Benchmark","At or Below Benchmark","Poor","At or Below Benchmark","Good","Detected","At or Below Benchmark","Poor","Not Assessed","Fair","Low","Fair","Good","Freshwater",2018,2022-01-31
2012506,"NRS18_OK_10003","09/10/2018","1","Y","NRS_OK-10091","2018-19","PLNLOW","SPL","Region_06","Target_Sampled","Federal","Not_USFS","Arkansas-Red-White Region","35.9654531627316","-96.3680712668495","Arkansas-White-Red Region","Arkansas-White-Red Region","Mississippi_Basin","Non Federal","OK","LargeStreams","Non-Urban","Not_Forest_Service","280.099813965863","-32898.1300000017","-171853.599999993","Good","None","Good","Good","Detected","At or Below Benchmark","At or Below Benchmark","Good","Above Benchmark","Good","Not Detected","At or Below Benchmark","Good","O/E<0.9","Good","Moderate","Good","Good","Freshwater",2018,2022-01-31
2012507,"NRS18_OK_10830","09/11/2018","1","Y","NRS_OK-10212","2018-19","EHIGH","SAP","Region_06","Target_Sampled","Federal","Not_USFS","Arkansas-Red-White Region","34.4509602772063","-94.6810422232488","Arkansas-White-Red Region","Arkansas-White-Red Region","Mississippi_Basin","Non Federal","OK","RiversOther","Non-Urban","Not_Forest_Service","69.8625281624133","120236.792868214","-340562.891953417","Good","None","Good","Good","Not Detected","At or Below Benchmark","At or Below Benchmark","Fair","Not Assessed","Good","Not Detected","At or Below Benchmark","Good","O/E>=0.9","Fair","Low","Good","Good","Freshwater",2018,2022-01-31
2012508,"NRS18_OK_10034","09/12/2018","1","Y","NRS_OK-10056","2018-19","EHIGH","SAP","Region_06","Target_Sampled","Federal","Not_USFS","Arkansas-Red-White Region","34.6357308491595","-95.1215902968693","Arkansas-White-Red Region","Arkansas-White-Red Region","Mississippi_Basin","Non Federal","OK","RiversOther","Non-Urban","Not_Forest_Service","69.8625281624133","79886.6700000024","-320364.999999984","Good","None","Good","Fair","Not Detected","At or Below Benchmark","At or Below Benchmark","Poor","Above Benchmark","Good","Detected","At or Below Benchmark","Poor","O/E<0.9","Poor","Moderate","Good","Good","Freshwater",2018,2022-01-31
2012510,"NRS18_OK_11422","06/03/2019","1","Y","NRS_OK-10226","2018-19","PLNLOW","SPL","Region_06","Target_Sampled","Federal","Not_USFS","Arkansas-Red-White Region","35.3731575004358","-98.6790649679225","Arkansas-White-Red Region","Arkansas-White-Red Region","Mississippi_Basin","Non Federal","OK","SmallStreams","Non-Urban","Not_Forest_Service","476.524166309391","-241292.205688928","-234825.622845187","Good","None","Good","Poor","Not Detected","At or Below Benchmark","Not Assessed","Poor","Not Assessed","Good","Detected","At or Below Benchmark","Poor","O/E<0.8","Poor","Moderate","Good","Good","Freshwater",2019,2022-01-31
2012511,"NRS18_OK_10340","09/17/2019","1","Y","NRS_OK-10205","2018-19","PLNLOW","TPL","Region_06","Target_Sampled","Federal","Not_USFS","Arkansas-Red-White Region","36.2702859426244","-95.7255590582528","Arkansas-White-Red Region","Arkansas-White-Red Region","Mississippi_Basin","Non Federal","OK","RiversOther","Non-Urban","Not_Forest_Service","132.871476116754","24430.9114526918","-137743.135652901","Good","None","Fair","Good","Not Detected","At or Below Benchmark","At or Below Benchmark","Poor","At or Below Benchmark","Good","Detected","At or Below Benchmark","Fair","O/E<0.8","Good","Moderate","Good","Good","Freshwater",2019,2022-01-31
2012512,"NRS18_KS_10098","05/07/2018","1","Y","NRS_KS-10247","2018-19","PLNLOW","SPL","Region_07","Target_Sampled","Federal","Not_USFS","Arkansas-Red-White Region","38.157451391189","-100.189731458259","Arkansas-White-Red Region","Arkansas-White-Red Region","Mississippi_Basin","Non Federal","KS","SmallStreams","Non-Urban","Not_Forest_Service","512.088153322222","-363532.502885707","81701.085390348","Good","None","Fair","Poor","Not Detected","At or Below Benchmark","At or Below Benchmark","Not Assessed","Not Assessed","Good","Not Detected","At or Below Benchmark","Poor","OE<0.5","Poor","Moderate","Good","Fair","Slightly Saline",2018,2022-01-31
2012513,"NRS18_KS_10086","05/14/2018","1","Y","NRS_KS-10235","2018-19","PLNLOW","SPL","Region_07","Target_Sampled","Federal","Not_USFS","Lower Missouri Region","39.8957684469827","-101.707786303052","Missouri Region","Lower Missouri Region","Mississippi_Basin","Non Federal","KS","SmallStreams","Non-Urban","Not_Forest_Service","512.088153322222","-483418.588081643","283033.890823544","Good","None","Good","Fair","Not Detected","At or Below Benchmark","Above Benchmark","Good","At or Below Benchmark","Good","Not Detected","At or Below Benchmark","Fair","O/E>=0.9","Good","High","Good","Good","Freshwater",2018,2022-01-31
2012514,"NRS18_OH_10050","05/29/2018","1","Y","NRS_OH-10083","2018-19","PLNLOW","TPL","Region_05","Target_Sampled","Federal","Not_USFS","Ohio Region","39.9083852426482","-84.2981643421996","Ohio-Tennessee Region","Ohio-Tennessee Region","Mississippi_Basin","Non Federal","OH","RiversOther","Non-Urban","Not_Forest_Service","114.281586641681","989000.500000023","330892.899999986","Good","None","Good","Good","Not Detected","At or Below Benchmark","At or Below Benchmark","Good","At or Below Benchmark","Fair","Not Detected","At or Below Benchmark","Poor","O/E>=0.9","Fair","Moderate","Fair","Good","Freshwater",2018,2022-01-31
2012515,"NRS18_KS_10103","05/29/2018","1","Y","NRS_KS-10252","2018-19","PLNLOW","SPL","Region_07","Target_Sampled","Federal","Not_USFS","Lower Missouri Region","38.6576711369321","-97.1733112796162","Missouri Region","Lower Missouri Region","Mississippi_Basin","Non Federal","KS","SmallStreams","Non-Urban","Not_Forest_Service","512.088153322222","-101143.466137288","130378.423343997","Good","None","Fair","Poor","Not Detected","At or Below Benchmark","At or Below Benchmark","Good","Not Assessed","Good","Not Detected","At or Below Benchmark","Poor","O/E>=0.9","Poor","Moderate","Good","Poor","Slightly Saline",2018,2022-01-31
2012516,"NRS18_OH_10023","05/30/2018","1","Y","NRS_OH-10097","2018-19","EHIGH","SAP","Region_05","Target_Sampled","Federal","Not_USFS","Ohio Region","39.2169141012594","-84.615729038314","Ohio-Tennessee Region","Ohio-Tennessee Region","Mississippi_Basin","Non Federal","OH","SmallStreams","Urban","Not_Forest_Service","4736.78041071881","971551.876121963","250697.642629282","Good","None","Good","Poor","Not Detected","At or Below Benchmark","Above Benchmark","Good","Not Assessed","Good","Not Detected","At or Below Benchmark","Poor","O/E<0.8","Poor","Moderate","Good","Fair","Freshwater",2018,2022-01-31
2012517,"NRS18_KY_10006","05/31/2018","1","Y","NRS_KY-10059","2018-19","EHIGH","SAP","Region_04","Target_Sampled","Federal","Not_USFS","Ohio Region","38.6054480813249","-83.9559334525058","Ohio-Tennessee Region","Ohio-Tennessee Region","Mississippi_Basin","Non Federal","KY","LargeStreams","Non-Urban","Not_Forest_Service","1126.27501915892","1036229.00000002","189651.999999993","Good","None","Good","Poor","Not Detected","At or Below Benchmark","Above Benchmark","Fair","Not Assessed","Good","Not Detected","At or Below Benchmark","Poor","OE<0.5","Poor","Low","Good","Fair","Freshwater",2018,2022-01-31
2012518,"NRS18_TX_10016","06/04/2018","1","Y","NRS_TX-10091","2018-19","PLNLOW","CPL","Region_06","Target_Sampled","Federal","Not_USFS","Texas Region","29.9104654367424","-95.4917812725994","Rio Grande-Texas-Gulf Region","Not Mississippi River Basin","Not_Mississippi_Basin","Non Federal","TX","SmallStreams","Urban","Not_Forest_Service","1423.06977510571","49036.4200000002","-847215.199999946","Good","None","Good","Poor","Not Detected","At or Below Benchmark","Above Benchmark","Poor","Not Assessed","Fair","Not Detected","At or Below Benchmark","Poor","OE<0.5","Poor","High","Poor","Fair","Freshwater",2018,2022-01-31
2012519,"NRS18_OH_10014","06/04/2018","1","Y","NRS_OH-10087","2018-19","PLNLOW","TPL","Region_05","Target_Sampled","Federal","Not_USFS","Great Lakes Region","41.3932650662287","-84.2957937821412","Great Lakes Region","Not Mississippi River Basin","Not_Mississippi_Basin","Non Federal","OH","SmallStreams","Non-Urban","Not_Forest_Service","6131.32114780094","968769.400000024","495964.499999983","Good","None","Good","Poor","Not Detected","At or Below Benchmark","At or Below Benchmark","Fair","Not Assessed","Poor","Not Detected","At or Below Benchmark","Poor","O/E<0.8","Good","Moderate","Poor","Good","Freshwater",2018,2022-01-31
2012520,"NRS18_KS_10100","06/04/2018","1","Y","NRS_KS-10249","2018-19","PLNLOW","SPL","Region_07","Target_Sampled","Federal","Not_USFS","Arkansas-Red-White Region","37.6463654811375","-98.1918529256833","Arkansas-White-Red Region","Arkansas-White-Red Region","Mississippi_Basin","Non Federal","KS","SmallStreams","Non-Urban","Not_Forest_Service","512.088153322222","-191547.399684433","18612.5490434924","Good","None","Good","Fair","Not Detected","At or Below Benchmark","Above Benchmark","Good","Not Assessed","Good","Not Detected","At or Below Benchmark","Poor","O/E>=0.9","Poor","High","Fair","Good","Freshwater",2018,2022-01-31
2012521,"NRS18_MI_10033","06/05/2018","1","Y","NRS_MI-10132","2018-19","PLNLOW","UMW","Region_05","Target_Sampled","Federal","Not_USFS","Great Lakes Region","42.9441791114345","-83.853321985742","Great Lakes Region","Not Mississippi River Basin","Not_Mississippi_Basin","Non Federal","MI","SmallStreams","Non-Urban","Not_Forest_Service","996.913343298005","983088.363905623","672592.528754997","Good","None","Poor","Poor","Not Detected","At or Below Benchmark","Above Benchmark","Poor","At or Below Benchmark","Fair","Not Detected","At or Below Benchmark","Poor","O/E>=0.9","Poor","Moderate","Good","Fair","Freshwater",2018,2022-01-31
2012522,"NRS18_PA_10004","06/05/2018","1","Y","NRS_PA-10053","2018-19","EHIGH","NAP","Region_03","Target_Sampled","Federal","Not_USFS","Mid-Atlantic Region","41.6076342885273","-77.5037762455458","Mid-Atlantic Region","Not Mississippi River Basin","Not_Mississippi_Basin","Non Federal","PA","SmallStreams","Non-Urban","Not_Forest_Service","1518.61786514153","1520517.00000004","608662.699999983","Good","None","Good","Good","Not Detected","At or Below Benchmark","At or Below Benchmark","Good","At or Below Benchmark","Good","Not Detected","At or Below Benchmark","Good","O/E>=0.9","Good","Moderate","Good","Good","Freshwater",2018,2022-01-31
2012523,"NRS18_IL_10363","06/05/2018","1","Y","NRS_IL-10139","2018-19","PLNLOW","TPL","Region_05","Target_Sampled","Federal","Not_USFS","Upper Mississippi Region","40.4535208720091","-88.4448232232075","Upper Mississippi Region","Upper Mississippi Region","Mississippi_Basin","Non Federal","IL","SmallStreams","Non-Urban","Not_Forest_Service","6261.97356403255","634630.57176917","356240.62091504","Good","None","Poor","Fair","Not Detected","At or Below Benchmark","At or Below Benchmark","Good","Not Assessed","Good","Not Detected","At or Below Benchmark","Poor","O/E<0.8","Good","Moderate","Poor","Good","Freshwater",2018,2022-01-31
2012524,"NRS18_GA_10003","06/05/2018","1","Y","NRS_GA-10058","2018-19","EHIGH","SAP","Region_04","Target_Sampled","Federal","Not_USFS","South Atlantic-West Region","33.926732736376","-85.05046408435","South-Atlantic Region","Not Mississippi River Basin","Not_Mississippi_Basin","Non Federal","GA","SmallStreams","Non-Urban","Not_Forest_Service","4270.79218640448","1002726.54600002","-342167.552999976","Good","None","Good","Poor","Not Detected","At or Below Benchmark","Above Benchmark","Fair","Not Assessed","Good","Not Detected","At or Below Benchmark","Fair","O/E<0.9","Poor","Moderate","Good","Good","Freshwater",2018,2022-01-31
2012525,"NRS18_OH_10029","06/05/2018","1","Y","NRS_OH-10103","2018-19","PLNLOW","TPL","Region_05","Target_Sampled","Federal","Not_USFS","Great Lakes Region","41.5401303030311","-83.8333680824481","Great Lakes Region","Not Mississippi River Basin","Not_Mississippi_Basin","Non Federal","OH","LargeStreams","Non-Urban","Not_Forest_Service","1483.46393700411","1004740.77014101","517074.724376817","Good","None","Fair","Good","Not Detected","At or Below Benchmark","At or Below Benchmark","Good","Not Assessed","Good","Detected","At or Below Benchmark","Poor","O/E>=0.9","Poor","Low","Good","Good","Freshwater",2018,2022-01-31
2012526,"NRS18_KS_10043","06/05/2018","1","Y","NRS_KS-10224","2018-19","PLNLOW","SPL","Region_07","Target_Sampled","Federal","Not_USFS","Arkansas-Red-White Region","37.8560151108596","-97.1403442345017","Arkansas-White-Red Region","Arkansas-White-Red Region","Mississippi_Basin","Non Federal","KS","SmallStreams","Non-Urban","Not_Forest_Service","512.088153322222","-99379.8974174753","40496.7459558109","Good","None","Fair","Poor","Not Detected","At or Below Benchmark","Above Benchmark","Good","At or Below Benchmark","Good","Not Detected","At or Below Benchmark","Poor","O/E>=0.9","Poor","Moderate","Good","Fair","Slightly Saline",2018,2022-01-31
2012527,"NRS18_WV_10010","06/05/2018","1","Y","NRS_WV-10053","2018-19","EHIGH","SAP","Region_03","Target_Sampled","Federal","Not_USFS","Ohio Region","38.2627618885793","-81.2225744419853","Ohio-Tennessee Region","Ohio-Tennessee Region","Mississippi_Basin","Non Federal","WV","LargeStreams","Non-Urban","Not_Forest_Service","1032.34193463673","1275625.00000003","184868.599999998","Good","None","Fair","Good","Not Detected","At or Below Benchmark","Above Benchmark","Good","Not Assessed","Fair","Not Detected","At or Below Benchmark","Fair","O/E>=0.9","Good","High","Good","Good","Freshwater",2018,2022-01-31
2012528,"NRS18_OK_10001","06/04/2018","1","Y","NRS_OK-10053","2018-19","PLNLOW","SPL","Region_06","Target_Sampled","Federal","Not_USFS","Arkansas-Red-White Region","35.7493094024648","-97.1343346338","Arkansas-White-Red Region","Arkansas-White-Red Region","Mississippi_Basin","Non Federal","OK","LargeStreams","Non-Urban","Not_Forest_Service","280.099813965863","-101673.300000003","-195512.299999996","Good","None","Good","Fair","Not Detected","At or Below Benchmark","At or Below Benchmark","Fair","At or Below Benchmark","Good","Detected","At or Below Benchmark","Fair","O/E<0.8","Poor","Moderate","Good","Good","Freshwater",2018,2022-01-31
2012529,"NRS18_VT_10034","06/04/2018","1","Y","NRS_VT-10148","2018-19","EHIGH","NAP","Region_01","Target_Sampled","Federal","Not_USFS","New England Region","43.2995996383256","-72.4942717589875","New England Region","Not Mississippi River Basin","Not_Mississippi_Basin","Non Federal","VT","SmallStreams","Urban","Not_Forest_Service","510.773572885586","1878509.84369027","882885.822335385","Good","None","Good","Good","Not Detected","At or Below Benchmark","Above Benchmark","Good","At or Below Benchmark","Good","Not Detected","At or Below Benchmark","Poor","O/E<0.9","Fair","High","Fair","Good","Freshwater",2018,2022-01-31
2012530,"NRS18_OK_10002","06/05/2018","1","Y","NRS_OK-10065","2018-19","PLNLOW","SPL","Region_06","Target_Sampled","Federal","Not_USFS","Arkansas-Red-White Region","35.7176878728481","-96.3769790586636","Arkansas-White-Red Region","Arkansas-White-Red Region","Mississippi_Basin","Non Federal","OK","LargeStreams","Non-Urban","Not_Forest_Service","280.099813965863","-33804.3499999997","-199592.399999992","Good","None","Good","Good","Not Detected","At or Below Benchmark","At or Below Benchmark","Good","At or Below Benchmark","Good","Not Detected","At or Below Benchmark","Fair","O/E>=0.9","Good","Moderate","Good","Good","Freshwater",2018,2022-01-31
2012531,"NRS18_VT_10011","06/05/2018","1","Y","NRS_VT-10138","2018-19","EHIGH","NAP","Region_01","Target_Sampled","Federal","Not_USFS","New England Region","42.876812535132","-72.6900532676713","New England Region","Not Mississippi River Basin","Not_Mississippi_Basin","Non Federal","VT","SmallStreams","Non-Urban","Not_Forest_Service","510.773572885586","1874647.16390492","833221.878246088","Good","None","Good","Good","Not Detected","At or Below Benchmark","At or Below Benchmark","Good","At or Below Benchmark","Fair","Not Detected","At or Below Benchmark","Fair","O/E<0.9","Good","High","Fair","Good","Freshwater",2018,2022-01-31
2012532,"NRS18_OK_10045","06/05/2018","1","Y","NRS_OK-10109","2018-19","PLNLOW","SPL","Region_06","Target_Sampled","Federal","Not_USFS","Arkansas-Red-White Region","35.9251264235397","-96.7198834641299","Arkansas-White-Red Region","Arkansas-White-Red Region","Mississippi_Basin","Non Federal","OK","LargeStreams","Non-Urban","Not_Forest_Service","280.099813965863","-64376.7800000015","-176189.199999989","Good","None","Good","Good","Not Detected","At or Below Benchmark","At or Below Benchmark","Good","Above Benchmark","Good","Not Detected","At or Below Benchmark","Good","O/E<0.9","Good","Moderate","Good","Good","Freshwater",2018,2022-01-31
