PUBLICATION_DATE,UNIQUE_ID,WGT_TP,UID,SITE_ID,VISIT_NO,IND_DOMAIN,DSGN_CYCLE,PSTL_CODE,AG_ECO9,AG_ECO9_NM,AG_ECO3,AG_ECO3_NM,EPA_REG,MAJ_BASIN,MAJ_BAS_NM,MIS_BASIN,MIS_BAS_NM,MISS_BASIN,OWN_NARS,FED_NONFED,LAT_DD83,LON_DD83,XCOORD,YCOORD,AREA_CAT6,LAKE_ORGN,URBN_NLA22,URBN_NLA17,URBN_NLA07,FRAME07,FRAME12,FRAME17,TNT_CAT,ACID_COND,ATZ_DETECT,ATZ_EPA_COND_3.4,BENT_MMI_COND_2017,CHLA_COND,CYLSPER_DETECT,CYLSPER_EPA_COND,MICX_DETECT,MICX_EPA_COND,DIS_O2_CLS,PTL_COND,NTL_COND,TROPHIC_STATE,ENT_1X_STV_COND,DRAWDOWN_COND,DRAWDOWN_COND_2CAT_2017,RDIS_COND,LITRIPCVR_COND,LITCVR_COND,RVEG_COND,ZOOP_MMI_COND_2017,ANC_MDL,ANC_NARS_FLAG,ANC_RESULT,ATRAZINE_MDL,ATRAZINE_NARS_FLAG,ATRAZINE_RESULT,BFXHORIZDIST_DD,BFXVERTHEIGHT_DD,CHLA_MDL,CHLA_NARS_FLAG,CHLA_RESULT,COND_MDL,COND_NARS_FLAG,COND_RESULT,CYLSPER_MDL,CYLSPER_NARS_FLAG,CYLSPER_RESULT,DO_SURF,DOC_MDL,DOC_NARS_FLAG,DOC_RESULT,ENTEROCOCCI_NARS_FLAG,ENTEROCOCCI_RESULT,LitCvrQc3OE,LitRipCvrQc3OE,MICX_MDL,MICX_NARS_FLAG,MICX_RESULT,MMI_BENT,MMI_ZOOP_2017,NTL_MDL,NTL_NARS_FLAG,NTL_RESULT,PTL_MDL,PTL_NARS_FLAG,PTL_RESULT,RDis_IX,RVegQc3OE,SULFATE_MDL,SULFATE_NARS_FLAG,SULFATE_RESULT
8/15/2024,NLA_FL-10061,5.066888268,6222,NLA12_FL-102,1,CORE,2012,FL,CPL,Coastal Plains,PLNLOW,Plains and Lowlands,Region_04,H03,South Atlantic Gulf Region,NMRB,Not Mississippi River Basin,NOT_MISSISSIPPI_BASIN,Non Federal,Non-Federal,28.09204922,-81.70722184,1404041.425,-942877.002,>50,NATURAL,NA,Urban,Urban,Include,Include,Include,Target,Good,Not Detected,At or Below Benchmark,Poor,Fair,NA,NA,Detected,At or Below Benchmark,Good,Good,Poor,Eutrophic,NA,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Good,NA,NA,1768,0.046,ND,NA,NA,NA,0.5,Q,23.52,NA,NA,307,NA,NA,NA,7.41,0.1,NA,14.63,NA,NA,NA,NA,0.1,NA,0.71208,34.8,66.08,0.01,NA,1.511,2,NA,43,NA,NA,0.09,NA,7.71
8/15/2024,NLA_GA-10033,664.5380984,6226,NLA12_GA-112,1,CORE,2012,GA,SAP,Southern Appalachians,EHIGH,Eastern Highlands,Region_04,H03,South Atlantic Gulf Region,NMRB,Not Mississippi River Basin,NOT_MISSISSIPPI_BASIN,Non Federal,Non-Federal,33.37323584,-84.28588958,1080002.721,-395179.9903,"(4,10]",MAN_MADE,NA,Urban,Urban,Include,Include,Include,Target,Good,Detected,At or Below Benchmark,Poor,Good,NA,NA,Not Detected,At or Below Benchmark,Good,Fair,Fair,Mesotrophic,NA,Small,Not Large,Fair,Fair,Fair,Good,Good,NA,NA,410.9,0.046,L,0.12,0,0,0.5,NA,3.568,NA,NA,53.4,NA,NA,NA,9.206666667,0.1,NA,3.13,NA,NA,0.529181541,0.773460449,0.1,ND,NA,28.8,89.75,0.01,NA,0.323,2,NA,32,0.724561404,0.996077036,0.09,NA,2.248
8/15/2024,NLA_UT-10010,4.141305924,6227,NLA12_UT-108,1,CORE,2012,UT,WMT,Western Mountains,WMTNS,West,Region_08,H16,Great Basin Region,NMRB,Not Mississippi River Basin,NOT_MISSISSIPPI_BASIN,Non Federal,Non-Federal,38.60046835,-111.841172,-1360346.73,236984.3675,>50,MAN_MADE,NA,Non-Urban,Non-Urban,Include,Include,Include,Target,Good,Not Detected,At or Below Benchmark,Poor,Poor,NA,NA,Not Detected,At or Below Benchmark,Good,Poor,Poor,Mesotrophic,NA,Small,Not Large,Fair,Poor,Good,Poor,Good,NA,S,2686,0.046,ND,NA,0.91,0.24,0.5,NA,6,NA,S,272,NA,NA,NA,7.786666667,0.1,S,4.39,NA,NA,1.447217519,0.399262676,0.1,ND,NA,29.8,76.73,0.01,S,0.44,2,S,80,0.647964582,0.171854794,0.09,S,1.003
8/15/2024,NLA_FL-10063,401.7606965,6228,NLA12_FL-107,1,CORE,2012,FL,CPL,Coastal Plains,PLNLOW,Plains and Lowlands,Region_04,H03,South Atlantic Gulf Region,NMRB,Not Mississippi River Basin,NOT_MISSISSIPPI_BASIN,Non Federal,Non-Federal,28.17018584,-81.83447199,1390352.417,-936213.1154,"(20,50]",NATURAL,NA,Urban,Urban,Include,Include,Include,Target,Good,Not Detected,At or Below Benchmark,Good,Good,NA,NA,Not Detected,At or Below Benchmark,Good,Good,Good,Mesotrophic,NA,Medium,Not Large,Fair,Good,Good,Poor,Fair,NA,NA,224.3,0.046,ND,NA,3.92,0.47,0.5,NA,2.3776,NA,NA,465,NA,NA,NA,6.7,0.1,NA,5.86,NA,NA,1.065865388,0.768935096,0.1,ND,NA,55.2,58.42,0.01,NA,0.546,2,NA,9,0.575146155,0.319268376,0.09,NA,85.321
8/15/2024,NLA_FL-10077,1512.701634,6231,NLA12_FL-110,1,CORE,2012,FL,CPL,Coastal Plains,PLNLOW,Plains and Lowlands,Region_04,H03,South Atlantic Gulf Region,NMRB,Not Mississippi River Basin,NOT_MISSISSIPPI_BASIN,Non Federal,Non-Federal,27.84218818,-81.50927927,1427526.737,-967200.9812,"(1,4]",NATURAL,NA,Urban,Urban,Include,Include,Include,Target,Fair,Not Detected,At or Below Benchmark,Good,Good,NA,NA,Not Detected,At or Below Benchmark,Good,Good,Good,Eutrophic,NA,Medium,Not Large,Fair,Poor,Poor,Poor,Good,NA,NA,42.5,0.046,ND,NA,3.28,0.8,0.5,NA,11.22666667,NA,NA,47.6,NA,NA,NA,7.94,0.1,NA,3.55,NA,NA,0.31544598,0.237961604,0.1,ND,NA,65.5,59.98,0.01,NA,0.494,2,NA,23,0.684366328,0.118635596,0.09,NA,9.616
8/15/2024,NLA_FL-10006,5.157805481,6232,NLA12_FL-106,1,CORE,2012,FL,CPL,Coastal Plains,PLNLOW,Plains and Lowlands,Region_04,H03,South Atlantic Gulf Region,NMRB,Not Mississippi River Basin,NOT_MISSISSIPPI_BASIN,Non Federal,Non-Federal,28.63737421,-81.13770674,1450151.157,-874756.2906,"(20,50]",NATURAL,NA,Urban,Urban,Include,Include,Include,Target,Good,Not Detected,At or Below Benchmark,Good,Good,NA,NA,Detected,At or Below Benchmark,Good,Fair,Good,Mesotrophic,NA,Medium,Not Large,Fair,Poor,Fair,Fair,Poor,NA,NA,139.8,0.046,ND,NA,0.588888889,0.4,0.5,NA,3.144,NA,NA,173.1,NA,NA,NA,6.78,0.1,NA,13.02,NA,NA,0.423260558,0.463352166,0.1,L,0.12605,63.2,47.33,0.01,NA,0.519,2,NA,46,0.275168431,0.529241158,0.09,NA,11.985
8/15/2024,NLA_FL-10034,5.157805481,6233,NLA12_FL-104,1,CORE,2012,FL,CPL,Coastal Plains,PLNLOW,Plains and Lowlands,Region_04,H03,South Atlantic Gulf Region,NMRB,Not Mississippi River Basin,NOT_MISSISSIPPI_BASIN,Non Federal,Non-Federal,28.63214149,-81.35520745,1429187.427,-878623.063,"(20,50]",NATURAL,NA,Urban,Urban,Include,Include,Include,Target,Good,Detected,At or Below Benchmark,Poor,Fair,NA,NA,Detected,At or Below Benchmark,Good,Good,Fair,Eutrophic,NA,Medium,Not Large,Poor,Fair,Good,Poor,Fair,NA,S,1065,0.046,L,0.06,3.4,0.31,0.5,NA,16.32,NA,S,223,NA,NA,NA,9.566666667,0.1,S,6.03,NA,NA,0.857320743,0.616375193,0.1,NA,0.29327,35.3,59.28,0.01,S,0.82,2,S,25,0.798423606,0.260269175,0.09,S,11.674
8/15/2024,NLA_CA-10033,7.356122414,6235,NLA12_CA-168,1,CORE,2012,CA,XER,Xeric,WMTNS,West,Region_09,H18,California Region,NMRB,Not Mississippi River Basin,NOT_MISSISSIPPI_BASIN,Non Federal,Non-Federal,33.8011914,-117.8101552,-1987401.703,-184964.4367,>50,MAN_MADE,NA,Urban,Urban,Include,Include,Exclude,Target,Good,Not Detected,At or Below Benchmark,Fair,Poor,NA,NA,Detected,At or Below Benchmark,Good,Poor,Poor,Hypereutrophic,NA,Small,Not Large,Fair,Good,Good,Fair,Fair,NA,NA,2780,0.046,ND,NA,0,0,4,NA,111,0.1,NA,870,NA,NA,NA,19.83333333,0.5,NA,7.67,NA,NA,2.496084112,0.889592338,0.1,L,0.11272,36.4,54.23,0.0208,NA,2.38,4.1,NA,434,0.545890411,0.316000902,0.08,NA,116
8/15/2024,NLA_OK-10050,6.698007867,6236,NLA12_OK-122,1,CORE,2012,OK,SPL,Southern Plains,PLNLOW,Plains and Lowlands,Region_06,H11,Arkansas-Red-White Region,H11,Arkansas-White-Red Region,MISSISSIPPI_BASIN,Non Federal,Non-Federal,34.37372835,-98.33928249,-213447.9185,-347405.7261,>50,MAN_MADE,NA,Urban,Urban,Include,Include,Include,Target,Good,Not Detected,At or Below Benchmark,Fair,Poor,NA,NA,Detected,At or Below Benchmark,Good,Poor,Poor,Eutrophic,NA,Large,Large,Fair,Poor,Fair,Fair,Poor,NA,NA,3190,0.046,ND,NA,30.4,1.76,NA,NA,15.6,NA,NA,524,NA,NA,NA,7.8,0.061,NA,6.78,NA,NA,0.346842559,0.310453567,0.1,L,0.14528,29,12.63,NA,NA,1.05,4,NA,67,0.460126582,0.295797072,0.894,NA,64.3
8/15/2024,NLA_KS-10004,4.572904917,6243,NLA12_KS-114,1,CORE,2012,KS,TPL,Temperate Plains,PLNLOW,Plains and Lowlands,Region_07,H10,Missouri Region,H10L,Lower Missouri Region,MISSISSIPPI_BASIN,Non Federal,Non-Federal,38.50796545,-94.67326537,114602.5307,113774.0167,>50,MAN_MADE,NA,Non-Urban,Non-Urban,Include,Include,Include,Target,Good,Detected,At or Below Benchmark,Good,Fair,NA,NA,Not Detected,At or Below Benchmark,Good,Fair,Good,Eutrophic,NA,Small,Not Large,Fair,Good,Good,Good,Good,NA,NA,2050,0.046,L,0.44,0,0,0.5,NA,15.408,NA,NA,229,NA,NA,NA,7.833333333,0.1,NA,4.65,NA,NA,0.948372665,1.171067228,0.1,ND,NA,51.8,40.03,0.01,NA,0.588,2,NA,46,0.495918367,1.351547205,0.09,NA,12.262
8/15/2024,NLA_CA-10003,43.4657628,6250,NLA12_CA-106,1,CORE,2012,CA,XER,Xeric,WMTNS,West,Region_09,H18,California Region,NMRB,Not Mississippi River Basin,NOT_MISSISSIPPI_BASIN,Non Federal,Non-Federal,33.07900474,-115.512784,-1797629.852,-309473.4965,>50,MAN_MADE,NA,Urban,Urban,Include,Include,Include,Target,Good,Not Detected,At or Below Benchmark,Not Assessed,Poor,NA,NA,Detected,At or Below Benchmark,Good,Poor,Poor,Hypereutrophic,NA,Small,Not Large,Fair,Fair,Good,Poor,Poor,NA,NA,2770,0.046,ND,NA,0,0,4,NA,176,0.1,NA,2632,NA,NA,NA,9.32,0.5,NA,28.1,NA,NA,0.735817559,0.372477191,0.1,NA,2.6831,NA,36.62,0.0208,NA,3.83,4.1,NA,591,0.491666667,0.242243714,0.08,NA,460
8/15/2024,NLA_FL-10081,394.6668302,6251,NLA12_FL-114,1,CORE,2012,FL,CPL,Coastal Plains,PLNLOW,Plains and Lowlands,Region_04,H03,South Atlantic Gulf Region,NMRB,Not Mississippi River Basin,NOT_MISSISSIPPI_BASIN,Non Federal,Non-Federal,28.62073805,-81.38955715,1426054.869,-880385.4631,"(4,10]",NATURAL,NA,Urban,Urban,Include,Include,Include,Target,Good,Not Detected,At or Below Benchmark,Good,Good,NA,NA,Detected,At or Below Benchmark,Good,Good,Fair,Mesotrophic,NA,Medium,Not Large,Fair,Fair,Good,Fair,Good,NA,NA,1073,0.046,ND,NA,1.34,0.4,0.5,NA,4.184615385,NA,NA,156.2,NA,NA,NA,9.3,0.1,NA,7.87,NA,NA,0.737342872,0.597250659,0.1,L,0.12346,56.7,60.27,0.01,NA,0.761,2,NA,20,0.595389442,0.374142544,0.09,NA,7.164
8/15/2024,NLA_PA-10020,12.81247141,6252,NLA12_PA-102,1,CORE,2012,PA,SAP,Southern Appalachians,EHIGH,Eastern Highlands,Region_03,H02,Mid Atlantic Region,NMRB,Not Mississippi River Basin,NOT_MISSISSIPPI_BASIN,Non Federal,Non-Federal,40.1117666,-75.8615303,1688810.514,472324.4333,>50,MAN_MADE,NA,Urban,Urban,Include,Include,Include,Target,Good,Detected,At or Below Benchmark,Poor,Poor,NA,NA,Detected,At or Below Benchmark,Good,Poor,Poor,Hypereutrophic,NA,Small,Not Large,Fair,Poor,Good,Poor,Poor,NA,NA,1118.6,0.03,NA,0.71,0,0,0.001,NA,42.29,NA,NA,187.8,NA,NA,NA,7.733333333,0.03664,NA,6.8,NA,NA,0.82929477,0.532759379,0.1,NA,0.42,10.6,40.13,0.02214,NA,2.08,3.05,NA,83,0.733870968,0.324405064,0.07863,NA,14.43
8/15/2024,NLA_AL-10039,13.36290646,6267,NLA12_AL-105,1,CORE,2012,AL,CPL,Coastal Plains,PLNLOW,Plains and Lowlands,Region_04,H03,South Atlantic Gulf Region,NMRB,Not Mississippi River Basin,NOT_MISSISSIPPI_BASIN,Non Federal,Non-Federal,31.62154629,-88.35373896,721685.4388,-628108.2922,"(20,50]",MAN_MADE,NA,Non-Urban,Non-Urban,Include,Include,Include,Target,Good,Not Detected,At or Below Benchmark,Poor,Poor,NA,NA,Detected,At or Below Benchmark,Good,Poor,Poor,Hypereutrophic,NA,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Poor,NA,NA,165.5,0.046,ND,NA,NA,NA,0.5,Q,144.8,NA,NA,32.5,NA,NA,NA,7.433333333,0.1,NA,7.13,NA,NA,NA,NA,0.1,NA,0.25983,39.9,48.52,0.01,NA,1.85,2,NA,106,NA,NA,0.09,NA,1.24
8/15/2024,NLA_OK-10053,7.375309714,6270,NLA12_OK-118,1,CORE,2012,OK,SPL,Southern Plains,PLNLOW,Plains and Lowlands,Region_06,H11,Arkansas-Red-White Region,H11,Arkansas-White-Red Region,MISSISSIPPI_BASIN,Non Federal,Non-Federal,35.17438787,-99.07748881,-277885.0984,-255972.4873,>50,MAN_MADE,NA,Non-Urban,Non-Urban,Include,Include,Include,Target,Good,Detected,At or Below Benchmark,Poor,Good,NA,NA,Not Detected,At or Below Benchmark,Good,Poor,Poor,Oligotrophic,NA,Small,Not Large,Fair,Good,Good,Good,Poor,NA,NA,3660,0.046,L,0.14,0,0,NA,NA,0.65,NA,NA,585,NA,NA,NA,5.9,0.061,NA,9.43,NA,NA,1.230260443,1.249146845,0.1,ND,NA,24.5,10.9,NA,NA,1.71,4,NA,190,0.555072464,1.298444383,0.894,NA,91.5
8/15/2024,NLA_CA-10106,15.67964253,6279,NLA12_CA-172,1,CORE,2012,CA,XER,Xeric,WMTNS,West,Region_09,H18,California Region,NMRB,Not Mississippi River Basin,NOT_MISSISSIPPI_BASIN,Non Federal,Non-Federal,33.15989079,-117.0432688,-1934417.848,-270596.8181,"(20,50]",MAN_MADE,NA,Urban,Urban,Include,Include,Include,Target,Good,Not Detected,At or Below Benchmark,Fair,Good,NA,NA,Not Detected,At or Below Benchmark,Good,Good,Good,Oligotrophic,NA,Small,Not Large,Fair,Fair,Good,Poor,Good,NA,NA,1960,0.046,ND,NA,2.133333333,NA,4,Q,0.8,0.1,NA,680,NA,NA,NA,10.13333333,0.5,NA,28.1,NA,NA,1.045978262,0.395668185,0.1,ND,NA,47.3,69.58,0.0208,NA,0.265,4.1,NA,14.8,0.461246724,0.151210089,0.08,NA,116
8/15/2024,NLA_AZ-10066,4.015965551,6281,NLA12_AZ-127,1,CORE,2012,AZ,WMT,Western Mountains,WMTNS,West,Region_09,H15,Lower Colorado Region,NMRB,Not Mississippi River Basin,NOT_MISSISSIPPI_BASIN,USFS,Federal,35.28501346,-112.1541634,-1449802.22,-124572.6657,"(20,50]",MAN_MADE,NA,Non-Urban,Non-Urban,Include,Include,Include,Target,Good,Not Detected,At or Below Benchmark,Fair,Poor,NA,NA,Detected,At or Below Benchmark,Good,Poor,Poor,Eutrophic,NA,Large,Large,Good,Poor,Poor,Poor,Fair,NA,NA,836.7,0.046,ND,NA,9.9,2.5,0.5,NA,13.056,NA,NA,118.3,NA,NA,NA,6.633333333,0.1,NA,6.03,NA,NA,0.094031222,0.24817665,0.1,L,0.12046,42.5,57.93,0.01,NA,0.554,2,NA,147,0.181449631,0.283586956,0.09,NA,3.039
