"Crop Cultivation, MMT CO2 eq.","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Indiana","10.754814987556433","8.681386697673698","9.612779579098197","9.184311442685509","9.567041316887707","9.49324392113217","9.311809421596518","8.71830336687941","9.913007749978487","9.076458835219672","9.607526923139115","10.29339065074442","10.114704186073357","10.429747364492098","9.434729961100821","9.65160511455108","9.201104190515021","9.217494763312416","9.978341366126678","10.63200291696872","10.62445024292932","10.095859711158132","9.515580792804363","11.299892270726787","10.602310769763228","10.291387726553273","9.931224512390765","10.5891274358437","10.865377356044519","10.48229453803126","9.180103808849996","9.865370213300787","9.886726934677784"
"Oklahoma","7.804531648923441","8.806533347190786","7.791473019363667","7.885181491120031","8.842699492469324","7.472128856927147","9.058563400102896","8.131744387572187","7.949181731126609","8.0444798036165","7.309873230712527","8.049554426630513","8.29361364756064","7.999581560946481","8.969758354083403","7.977755349357061","7.310646087744923","8.955681561696583","8.75200258675766","9.115229146059612","8.610339745782005","9.364468221617335","7.588609106522637","9.81200076947202","9.08459006047999","9.241667434813598","8.425065442995134","9.33931189294928","9.155701873870425","9.280745308420173","8.13599853736579","8.519575576112484","8.347623184761746"
"Louisiana","6.889783904685062","6.995980635616644","7.308242314532819","6.4865550374681","7.0388809822099505","6.491759995381432","7.335015175146765","6.993461444344753","8.02059131478987","7.586413899501486","7.687878481699413","7.506558013391189","7.647671753634346","7.586667777333517","7.565613733584585","7.439587471750043","6.844784799160136","7.429701206489994","6.71282549643055","7.846083497193863","7.3495061128169406","7.571840803932067","7.321381664530455","7.899862898796569","7.223019622488979","8.196802262121812","7.7520671017626945","7.496983378621404","8.352726839121086","7.652523496519668","8.297826261411519","8.062425863768613","8.052506801884324"
"Wisconsin","9.053828260675905","8.756112574790375","8.18390985747477","8.569386428398785","8.38552785589597","8.321587681985124","8.1739268654287","7.948254583423626","8.468748924925167","8.641569411428897","7.4990783434944195","7.538132655184254","7.998185450002668","7.989960211827321","7.878138958116507","7.5862232613874445","8.140102436468272","7.8277097850364425","7.6646746741392935","7.828491071041735","8.610886204630882","7.895642218305131","7.806536607373718","8.392380176582217","9.492941472298838","9.042092053493107","8.832806911594673","8.439195512827787","9.40703928605647","8.551671547292116","8.051208706008119","8.105574057418956","7.864084346843873"
"Colorado","7.892866278015144","7.570168621972032","8.414130563220661","8.375797554050681","7.549278956099793","7.888040758636119","7.818383232167053","8.033035345910902","8.441519800462244","7.76668107568602","7.410864450686428","7.2139597309815064","6.987751994095301","7.758837783391206","7.714234859140917","7.954457630861852","7.863832291759241","8.657196318901015","7.643887210990471","7.71188379278834","7.482121821839114","7.373359744576083","7.462912924950388","7.9771932789557205","7.897251682039742","7.616480349468678","7.5601739591013715","7.705502617929119","7.254117642955378","8.01631226672934","7.313457497293659","7.230816908942675","7.102256208849831"
"Ohio","8.93951112557066","6.825522996346125","8.047331484215027","7.394239270471362","7.748153985982436","9.208856174760395","8.451208674351816","7.311917763587262","7.37698311716149","7.491719946610797","7.893381108711762","9.142510655038274","8.233559291678826","7.510675733117055","7.6019575279698985","7.864498927619523","7.543850417231959","7.385175618021554","8.258631387576331","8.053382495620237","8.134210233047074","8.133200158086519","6.841957459522401","8.633117158894102","7.590664729919635","8.614228619958881","7.681824341654968","7.911240904069173","8.401394964112148","7.627595811374525","7.057960372310789","7.2391247451879","7.066375938459789"
"New Mexico","6.293037157951863","6.64579034443556","5.724430508935776","5.789702210715928","5.768940767306325","5.941260235997839","6.721937468214942","6.342419656611334","6.017347915407388","6.236301024205698","5.517749621573816","5.813135006937197","6.270307304141711","5.926906260345728","6.513012877185997","6.290620382291668","6.684769070578427","5.845497185640029","6.473601116743547","5.977961962183684","6.482045032488533","5.566721334755278","5.545330650723118","6.673701703626982","6.248163210176136","6.699472080234423","5.97661626201757","6.570567579391649","6.016205973725103","5.8723470438553225","5.378140070548729","5.554149231436469","5.470350950151128"
"Wyoming","4.805247093617936","4.643931884708792","4.556110300903692","5.1664388092708196","5.176519942410499","5.413391766031153","5.272087647245322","6.006588120799607","5.7617661568914365","4.884303498810292","4.639121182059063","4.921561329844192","4.930219906922223","4.887159559134142","5.099841686661228","4.984202849383611","5.004374716023326","5.265632211681044","5.064586945380532","5.183881496755549","5.1185998497367535","5.564957534168069","4.937716083502452","5.908033791361899","6.376977078748667","5.622873111130486","5.1608377008454935","5.913874112820498","5.6044923953778945","6.137664882398361","5.1446170220315","5.460022558646032","5.379354814206342"
"Kentucky","4.90557597794787","4.678387504282375","4.88361045753663","4.684936620911382","4.873096996080014","4.663628152205776","4.899726733666836","4.225836228445868","4.6561886511519095","4.3865821099619025","4.677277843709144","4.8587688186588585","4.607048964614458","5.135420297975791","4.611393545681295","4.081613826929664","4.369011352293981","4.567674871101111","4.063242788169558","5.186493890632034","4.458867814426854","4.956607852205489","4.523614832210053","5.055247702523302","5.0246213023827435","5.486965242103667","4.77621339771374","5.050030537948825","5.693253725801","4.833266193916567","4.720410880387166","4.919134113185337","4.882035879653769"
"Idaho","3.7637734109173695","3.7638526930764455","3.687166548486262","4.467872271864933","4.360247728082235","4.558023757966697","4.755402739393558","4.690778077781549","4.819281001441283","4.398014100771117","4.606346221063461","4.359003244640483","4.531314894427258","4.962748045449169","5.013311848938299","5.20899070523432","5.045090222631419","4.8715546546220185","4.894537518422123","5.348525193933816","4.8629352241297354","5.247794398335428","5.033701082920941","4.924811134354728","4.894034612853879","4.7224939455060815","5.044966136424658","4.935711988119729","5.346923638566064","4.829071536523597","5.1985651252828795","4.936525876471424","4.8590492841057005"
"Michigan","5.494661738150555","5.280519830680122","5.372675707608618","5.061279864042108","5.1925329906854145","4.946414568822369","5.143362251590798","4.865047674891203","4.947125426956523","5.618529352140235","5.485134286847453","5.131891711651493","5.0710604184430235","5.283178658972106","5.337644150387776","4.737186473247705","5.47787887878061","5.059283149340832","5.366228840347305","4.7925552684602835","5.076184230730679","5.32664258132373","4.874830395789204","5.880187678749459","5.73926089654248","5.246840163665024","5.460930803743849","5.6512821990670945","5.360847530752553","5.162613401195113","4.90526715890496","4.835019531392087","4.689549215681018"
"Mississippi","4.860653781256986","4.898274918613463","4.794604537942378","4.869320497106165","4.885572903349441","4.673401952764118","4.663465910301294","4.539456964971612","4.980594901089358","4.425989176788089","4.982981663054762","5.214830565709539","5.644254366519553","5.564649466119925","4.622807501047254","5.021374055557394","4.811104020804855","4.8374881967261105","5.003948930015062","4.688617199100177","4.915362197148221","4.729446967513676","5.030771860611117","5.196529278182742","4.716285706143463","5.492127747544263","5.061712023387836","4.614847040975686","5.036224227193297","4.724970761092225","4.69033337217408","4.5581054708421656","4.45719886822348"
"Florida","5.636875494213164","5.657530082453884","5.586780415550395","5.565637668821744","5.713544813865191","5.551881338250378","5.342751311885494","5.574198826825636","5.272197717903533","6.865806066655156","6.858988641780907","5.388752962689524","5.593789536726754","5.314804113505727","5.233726069706976","5.407911659075647","4.875085828700989","5.195982018427818","4.932741676605669","4.535755130693472","4.880685455245371","4.658364732505745","4.7041089991863245","4.820266872163505","4.832581575543206","4.669866300835462","4.454777536775152","4.379432806771659","4.69060497505519","4.201136773951664","4.305218195914108","4.30049909862435","4.292983583074954"
"Washington","3.989299121620594","3.470518534891395","3.730696667328788","4.413368019862842","4.1057759881150035","3.99779293833789","3.648874558437154","3.5915036079512848","3.9067455342812765","3.77236800137145","3.883379466610589","4.214549538408026","3.8120681693799474","4.043308308694924","4.172408849367444","3.9697480126692697","4.132808801616013","4.379139516355451","3.983092669296521","4.860951066281706","4.736434658173123","4.55734034865374","3.8582001099089855","3.831918120039555","4.8812244156471944","3.8789239174459325","3.604397572376768","3.668526787651211","4.16756742424293","4.382681612823429","4.3152799824732115","4.098383733453518","4.027079750283345"
"Arizona","4.779786636434586","3.954999249160674","4.705710891353531","4.195669574993412","4.104711962093654","4.22545158790802","4.206044885765937","4.389029354842401","4.596732393620209","4.563877999961947","4.083294021354075","4.1521524065019095","3.923894967732829","4.284815607296025","4.573165010951516","4.399326972916773","4.492964441138108","4.2917519049901385","4.684667799118038","4.060753294505858","4.379184219175899","4.11852585672524","4.290164160181745","4.3658232991004144","4.292144422167079","4.656835496017292","4.302976477779993","4.114004529325708","4.377427785321978","4.181657548136949","3.676105487410533","3.9653295834342033","3.9108199743793017"
"Tennessee","3.5934481146362685","3.518902798954083","3.5499674295552905","3.5575151150043722","3.871735397865446","3.633225039631956","3.6347260020623064","3.6631950254888554","3.759534333928273","3.49493193221281","3.7770151163041823","3.823166339145338","3.523845465036182","3.484626652835767","3.6953538029207493","3.3688666882863356","3.6036021176958926","3.1808549790534726","3.2108826851412613","3.625168817571357","3.2201048106068897","3.3554999944957253","3.605074361247061","4.092438089793469","4.767170747399971","3.5787149925204313","3.69859499482378","3.9024749115596578","4.215402471878974","3.719907023216133","3.6322190064476816","3.6487518481651073","3.5531579069120505"
"Oregon","3.4034747872507936","3.244687773051292","3.3453467985641394","3.6515352288395744","3.4421644238893836","3.6795744056430504","3.4019423682081684","3.685624965880116","3.975114228258565","3.410225181751848","3.298046559991796","3.5156556356244923","3.6680392575572984","3.9693078876966417","3.7072847795247186","3.9236584740348266","3.6636482548344036","3.8441323301645682","3.668909418397419","4.1436177052934875","3.9456603204507554","3.9707204284463726","3.9303449507754378","4.085559968981383","3.933123447844339","3.4709546026275393","3.3274365844542184","3.7165922917673937","3.7103518322753244","3.6743912050877268","3.6643636160623974","3.585702352351639","3.5264566723827864"
"North Carolina","3.371130615649653","3.3463170930285657","3.270102281068808","3.0747404716519435","3.3746375680898746","3.5665904636768984","3.685740981970171","3.376604793368243","3.5894816104527374","3.539325897407349","3.143701491509825","2.933573302116886","3.1975556106999004","3.323096546301167","3.478435847417583","3.1662826856380053","3.4106532339150397","3.1413047068490467","3.2818221762991437","3.1598452539871853","3.037666308610181","3.2723218927510755","3.085371274125441","3.125681497579815","3.100074855690738","3.1957945957710088","3.088223131146463","3.327796734871358","3.241534377257652","3.2445433096293366","3.3579696347129513","3.1560312036336766","3.0840844727494314"
"New York","3.368221355756549","3.0854405714461937","3.379072284219097","3.0680707609571938","3.3958743987145485","3.1228547870130985","3.2812269370400844","2.9451660483674957","3.2708827536350142","3.2610770307335115","3.2367350961103187","3.063250712705448","3.6697672527238376","3.5535398512768666","3.2060815972231356","3.0433668897052204","3.3118680160174363","2.9108293511478207","3.0223946634922623","3.0879577621711363","3.2060299072642495","3.178618412231331","3.840295922498459","3.4105331153764262","3.134409442163974","3.345899264483576","3.217903417508574","3.4391832090888768","3.278722206541198","3.2059808757503547","3.0569479558340813","3.0271895972317875","2.955018025446523"
"Pennsylvania","3.360625521480772","3.0190060825040876","3.2927493695158794","3.149282200809498","3.2712846443460153","3.2108246853929816","3.4231535044250645","2.8565390220670404","2.986586174488399","3.054683208142007","2.9983882443847536","3.1877174647112727","3.4048258019023185","2.957478350180735","3.1349271025329895","2.615919187852147","3.275726784181245","2.6901184380470102","2.7647872287176978","2.782344071759291","3.037411671465957","3.129258274925414","3.044264211049302","3.007911279813196","3.258991769522086","3.131281449553546","3.10225015940412","3.212290062682457","3.4546394101803304","3.117470004913045","2.943425329553486","2.8430422899027255","2.75955393869724"
"Georgia","2.9290895343846954","3.185739584902956","3.071532549776556","2.894301861694774","3.3186082422199994","3.1046465326340846","3.162994240474023","3.1096152928325873","3.020594949847365","2.9208828503560986","2.870694301665119","2.7753924182175194","3.1328672337310652","3.004193833686435","3.09785290894986","2.847658697816853","2.7455177297635434","2.931363160678092","2.602224871416704","2.6958111361462964","2.687608129437299","2.5917279675828895","2.803872852076362","2.70530939129428","2.5073142457346536","2.722067757443195","2.65388955573531","2.611978698187042","2.7325868622005363","2.4724188908687084","2.6847657259051716","2.5140734595562004","2.453619921047377"
"Virginia","2.422265812344483","2.4880972807391353","2.6118106563296144","2.4364327282749647","2.5898483661512017","2.5705004239172697","2.6320934189912513","2.236686143425348","2.3670281037275727","2.957401699549725","2.6853608257654074","2.7162691568196258","2.4854087381587338","2.820342048288523","2.4128127335584817","2.1268010235092603","2.0685716249987576","1.922104895232053","2.4321518062680765","2.1884288249109267","2.266722580264787","2.514054147825373","2.4718200537590698","2.426710535504964","2.3883670088528657","2.5484640348734002","2.292629521797619","2.238100529777647","2.606010134331818","2.1820971884406974","2.3083025567438873","2.224327583413588","2.2281805038565805"
"Alabama","2.3847855524201136","2.6025062548277367","2.454251429388084","2.3867584374625053","2.6200579711588348","2.387418798630329","2.499535136567138","2.4004260083720115","2.423773295841652","2.4663369442985275","2.256156754670708","2.4502135188293166","2.2829391338241014","2.2733930827046325","2.3752875461944307","2.2687977478410484","2.1032951297211655","2.1830202316851985","2.449262514334358","2.1898157330829218","2.150089826931432","2.155302124307667","2.1400891912681774","2.3049158161735734","2.14731818497672","2.2247626349715928","2.101896916786413","2.406623424629842","2.3111338870705116","2.1687465235421874","2.2788474413974473","2.1519925414592493","2.1001948597973694"
"Utah","2.085163586658783","2.1075208269666885","2.0777482602998645","2.264727407704487","2.0550360810501154","2.1792574575780743","2.0422532247405725","2.3778690010421166","2.402109869383702","2.084520690151593","2.1430150204846896","2.040682001476252","2.0487291480371694","2.0848427458299157","2.193589863978756","2.3211592646237516","2.1275877907411074","2.1094247647568745","2.094719562665543","2.093967495635597","2.248767385156884","2.220372380759436","2.1319781862533467","2.309142573040888","2.344788166354701","2.339968392283594","2.2360505634581602","2.1265486242028278","2.0725051672541364","2.2132802229809982","1.9217763299234614","1.9877895759801296","1.9582604534390065"
"South Carolina","1.2803660163089585","1.3538537355253173","1.243457455549171","1.1772735380324477","1.4289636829537875","1.2616187434967134","1.3223582457417955","1.2936205278423127","1.2313392441181268","1.3891460414029329","1.2777595062521212","1.321179857231674","1.4466124393188777","1.3130455412671596","1.2478405202317373","1.3339946234448694","1.1912404840315198","1.2140146914360332","1.3147465397685176","1.170183773277938","1.151935826032361","1.1424681060245128","1.2033620405166474","1.2413901841742663","1.14003532780872","1.191102413500226","1.2229930525775117","1.1902985768147756","1.296160763976421","1.1433708372177158","1.3355606417616714","1.1951050046076113","1.1614415051050146"
"Nevada","1.0992931229974092","1.1017618834252874","1.097390966798028","1.2560930230644125","1.0928888566486883","1.1903475558072185","1.2538095938268727","1.2207953274472148","1.3785663049025998","1.1019685304906708","1.2041442624906595","1.1204556106479162","1.190591268584245","1.246296610494196","1.3291431286780206","1.381276672150713","1.1915601481511484","1.119390715572253","1.2124341807003787","1.2929019852235826","1.2892283941732592","1.245234798448171","1.0686461077534812","1.2256927023045685","1.302904015969757","1.4435660106560007","1.2764814232252737","1.264918484545281","1.177519558928781","1.279366514691675","1.0678612245663983","1.1313648689475024","1.11578841840942"
"Maryland","0.9335337065969131","0.9364533578511668","1.020852955076994","0.98419437785415","0.987681890383166","1.0579251946477928","1.030518150753075","0.9297286822255516","0.9125248035182221","0.9111334817426013","1.1675680282186345","0.992661394441883","1.0279414655988917","0.9144278183627406","1.0252441759407496","0.9764937507565451","0.8186413921886441","0.7668961135635695","0.8892300264507277","0.8772886148866174","0.6859033134863841","0.829693519750559","0.8091913787563509","0.7893385053294854","0.8589748274455694","0.745151659757513","0.7425836133162651","0.8775983783224043","0.9842421312201414","0.7575265580022059","0.7724561336654419","0.7907722720419792","0.7676290580280861"
"West Virginia","0.5920322197310608","0.5302246216533781","0.5744628702857973","0.6068756322603437","0.5840229764356498","0.5596531489891091","0.621422249974291","0.5478798401512583","0.5537495586470872","0.5867715973085295","0.6269970053901638","0.6234118212391239","0.6677490225093052","0.6134155782938391","0.6361617921413499","0.7743774073705968","0.667209582540582","0.6908540197209269","0.5766719245249239","0.590819976541387","0.5859025316290107","0.636282710395019","0.5638653286798914","0.624971834339852","0.5873321314046019","0.5877418029315935","0.6032572652882302","0.5464087486007421","0.6535813264939275","0.5617586236632062","0.5779770109039832","0.5709608199413259","0.5589715766415269"
"Vermont","0.41188997197804433","0.39631283060155836","0.3926222564464896","0.4027155887115282","0.4114519926425267","0.396234161882117","0.40898521237751145","0.39412557604444576","0.4619731780289183","0.4367286101283195","0.4246637574617544","0.4296767189951618","0.4367750228310501","0.4216036373926557","0.43178859604867825","0.43862499498673846","0.4173379783397088","0.39040193189890154","0.39376566304330335","0.4038392133311294","0.4210792185750305","0.41419683513593336","0.41474448014305093","0.43636278556070973","0.42904768117921344","0.45599334266714153","0.4436151813650395","0.45273962880866275","0.43438804739947495","0.4272408887335172","0.41423946111762977","0.40720832681990277","0.3998377943576885"
"Delaware","0.3150166676642829","0.25015261018520907","0.28880354268670533","0.27014092896439645","0.32268601874648356","0.2856437086068638","0.2712562225592664","0.2889978193031944","0.2708001149526528","0.2973106257018571","0.2910679390370689","0.2581628514614323","0.28129807232808923","0.2864948872217124","0.24608385956782725","0.28991819877716063","0.2311226558963904","0.2476317327190222","0.23412046129751052","0.26572382974383196","0.28037413341776285","0.26394778644137995","0.23698676206964042","0.24769265740710877","0.26183977824075405","0.2893273650104181","0.299555725253037","0.2519624043856712","0.3332838377882954","0.2745696893144974","0.26679019663196946","0.2804037095822797","0.273571662033263"
"New Jersey","0.324831152382896","0.3340937498940276","0.29769919734786193","0.2951658676540026","0.3033737816371436","0.2582058298372348","0.3319388983579854","0.2686155510957694","0.2421894626683513","0.33440310657653793","0.260827032175682","0.27912335105319863","0.2995294653723599","0.26863315073030364","0.26173357736790737","0.252768400269806","0.2698566427711631","0.2663241614098102","0.2756153051336156","0.2877914646066205","0.2555349568840293","0.25928342044814257","0.2652118626242491","0.27436446318351626","0.25757221251245477","0.2551665721027244","0.2703678367874163","0.24653358194015157","0.2816758449629393","0.2684995004827127","0.2557461956667934","0.26248050540634305","0.25685722671385175"
"Maine","0.2858872576816258","0.26597130845786804","0.26899291555101223","0.25721105941754585","0.2725598487503997","0.2678187321973684","0.32733479417691136","0.29359079183040315","0.31293385185572664","0.3165131740064472","0.25967751111632664","0.26435089843160625","0.2956387019359214","0.3032866165961149","0.3146253111424132","0.34655693527417747","0.3710961937149117","0.348094283752871","0.3636075827467522","0.3434444682272933","0.33981490191670494","0.23354014091169378","0.24090221550735197","0.24444934099385707","0.20315818674335998","0.21572600283617988","0.23234556649569454","0.22086506423134927","0.23857224691134202","0.23674623538101958","0.23367241576950437","0.22798081272325035","0.22291765945003367"
"Massachusetts","0.19764205941425098","0.19025511819516008","0.19458306384288726","0.18130945243713123","0.19365192868655365","0.19183228173599143","0.17727844969128584","0.1746653109847569","0.17675158508067298","0.1854714179864657","0.18206384871123038","0.17705980422860873","0.19151592564615041","0.1731349969086961","0.17300518957100658","0.177313392313008","0.17519154898072503","0.16207335162072806","0.16713393975279853","0.1602754529341992","0.18219874827888807","0.1615257015097621","0.15694562446256988","0.15593520036886988","0.14630019392222013","0.15230601053234613","0.13446645586184655","0.1564799558681195","0.14396056222652528","0.1418196789748618","0.1372010807150086","0.15808016292223986","0.16304929674439458"
"Connecticut","0.13408875917204557","0.1252971361916459","0.12565552701152663","0.1224869716168596","0.14351584828200395","0.1344057911973041","0.12813820360292907","0.13859034474418883","0.14766164395767764","0.15358757603193676","0.13390575149471598","0.13244174817421334","0.1741162600780888","0.1392701856747158","0.1334725276491955","0.11191239037512356","0.12807948248317774","0.10970442841746031","0.1260896493963829","0.11867709063693561","0.10905335677870792","0.11681256399921744","0.11768223900098321","0.10843497545437161","0.0978988984650405","0.0994528723183356","0.12091774075445004","0.12808136169972215","0.11501609984143574","0.10557877996787103","0.13658834368737552","0.10541240846894781","0.10359519505612268"
"Hawaii","0.10211959244897871","0.10730622365582573","0.09941178106292259","0.09559012461672839","0.09510148604499946","0.09759082676991605","0.09589100223777976","0.09754466176696529","0.10040325571177139","0.09651148374990998","0.09257237486004546","0.08561767484479672","0.0834836440179448","0.08523874712292279","0.0861798082747869","0.08588779639247468","0.08917491744471137","0.08947347007890606","0.08550280168420606","0.08653960753358307","0.08399642424686093","0.08145027652648923","0.08042554590134698","0.07650730885257702","0.07518017298892382","0.07417668914326354","0.07794949435430422","0.07904369736454014","0.08017981802457214","0.07934686348586666","0.07848676433955758","0.08125699480390568","0.08135651516120482"
"New Hampshire","0.09696009880104335","0.08646754106178067","0.08546861438606908","0.0885472742483666","0.09401655116073099","0.09341859637471965","0.09291805949396958","0.09361992159428889","0.09958476988798835","0.0941256922454269","0.09395356523779137","0.08230330862683938","0.09429314645607435","0.08746973510093807","0.08934962165583295","0.09244867546051957","0.08822589323839926","0.08107104448636289","0.08166475472268615","0.08131005988937337","0.09001477817309468","0.08964467079469658","0.07987453461165409","0.0792929068502995","0.07293988460764274","0.07606366674298395","0.07479540567544968","0.07776466258418256","0.08070476690592479","0.07362237167630563","0.06925354930789948","0.07139169059040729","0.07009920039387632"
